video_id,base_id,is_original,class_label,num_frames,active_side_detected,elbow_angle_active_mean,elbow_angle_other_mean,wrist_height_active_mean,torso_lean_angle_mean,elbow_forward_drift_active_mean,elbow_angle_active_vel_mean,wrist_height_active_vel_mean,torso_lean_vel_mean,elbow_angle_active_std,elbow_angle_other_std,wrist_height_active_std,torso_lean_angle_std,elbow_forward_drift_active_std,elbow_angle_active_vel_std,wrist_height_active_vel_std,torso_lean_vel_std,elbow_angle_active_min,elbow_angle_other_min,wrist_height_active_min,torso_lean_angle_min,elbow_forward_drift_active_min,elbow_angle_active_vel_min,wrist_height_active_vel_min,torso_lean_vel_min,elbow_angle_active_max,elbow_angle_other_max,wrist_height_active_max,torso_lean_angle_max,elbow_forward_drift_active_max,elbow_angle_active_vel_max,wrist_height_active_vel_max,torso_lean_vel_max,elbow_angle_active_range,elbow_angle_other_range,wrist_height_active_range,torso_lean_angle_range,elbow_forward_drift_active_range,elbow_angle_active_vel_range,wrist_height_active_vel_range,torso_lean_vel_range,sequence_length
vid_0022_aug_3,vid_0022,False,Heave,58,left,133.53875900431282,105.44519165705883,-0.8242499900114255,17.411467699741056,-0.07095991473209588,0.4085424798116658,-0.011036039324495412,-0.032096755941682466,22.32480483382244,34.82694706325688,0.30310976666252337,5.920818536429673,0.09669407641929191,10.597425166233691,0.10006760505093476,1.4890642058762857,76.70497797539413,61.980551770258565,-1.3127056221327638,4.456254074674078,-0.21606054235455607,-23.333471903685663,-0.41204617929252296,-3.002369538140279,173.81425247944136,164.48711623092146,-0.0012153369677933012,27.408962486742197,0.16490801872214977,31.511569205558438,0.3360071859184603,3.601753352271598,97.10927450404724,102.5065644606629,1.3114902851649703,22.95270841206812,0.38096856107670585,54.8450411092441,0.7480533652109833,6.604122890411877,58.0
vid_0022_aug_4,vid_0022,False,Heave,67,left,136.35113794921858,104.14827459023522,-0.825808744897444,17.176240344359908,-0.08404905971411995,0.2103384899839731,-0.007377801320287002,-0.15140328584094437,26.153030903626483,34.28018605825259,0.3050520328802559,5.959224309817687,0.08308950896427544,13.755201901916356,0.11676419162829083,1.4745593725524586,68.60924311130695,59.69960905459245,-1.306729910292248,5.026152401812357,-0.30268116492503366,-47.53888048541846,-0.3352311728158572,-4.533478488589854,176.14929954436676,172.12060834666454,0.04941307873450085,25.60417238949968,0.07701297302810681,34.42756338865156,0.5062250740543607,4.621923535353938,107.5400564330598,112.42099929207208,1.356142989026749,20.578019987687323,0.37969413795314044,81.96644387407002,0.8414562468702178,9.155402023943791,67.0
vid_0022_aug_5,vid_0022,False,Heave,58,left,132.7604299328329,102.87549618769992,-0.8242567498818402,17.487095649075176,-0.07766675316701814,0.8085455787128587,-0.01127878960873769,-0.149411267151565,25.645719972765892,33.715718574009195,0.3009368108815127,5.6868291926911105,0.08391529285321098,12.51659937429105,0.10005024937079164,1.5861106022302636,70.65187086704425,57.06332115770943,-1.3114017886235545,5.3479686628323835,-0.2159482618101991,-32.17614917480383,-0.32069408429488955,-4.9950093601413235,168.72924548098777,158.03955224768188,0.0028440042081662176,27.51032662308937,0.09848233699742882,38.110603434697055,0.3417079651918041,3.434242099125939,98.07737461394352,100.97623108997246,1.3142457928317208,22.162357960256987,0.3144305988076279,70.2867526095009,0.6624020494866936,8.429251459267263,58.0
vid_0022_aug_6,vid_0022,False,Heave,73,left,136.31974985398728,104.47383954407013,-0.8223171831818863,17.565969095327297,-0.0761865164260593,0.20155234045564185,-0.006528643137164057,-0.08240389163414266,24.337769834200433,34.43502731126743,0.3153850933287286,5.956249351781491,0.08732403643879982,13.228640165469017,0.1097595408677987,1.710957872744484,75.97225173362217,62.36891320571033,-1.3570104069582898,4.4273065089572174,-0.22364963246094666,-46.22689912843333,-0.4035106552274247,-4.220199360300159,172.509190170604,164.64832302326326,-0.03769325398404244,27.500914302171925,0.12702666430530182,32.98399067201427,0.47091164982735123,4.0391133829546595,96.53693843698183,102.27940981755293,1.3193171529742473,23.073607793214705,0.35067629676624845,79.2108898004476,0.8744223050547759,8.259312743254817,73.0
vid_0022_aug_7,vid_0022,False,Heave,75,left,135.74104827224363,103.72992435332425,-0.8240154671469156,17.44983676386878,-0.08790724078189263,0.3396470962260192,-0.008724318030767795,-0.1745668607906768,24.285366645273545,32.48306147980066,0.3087971220808431,6.3552869646257335,0.08179061478947634,11.981553345611752,0.10602205472574425,1.930167804556408,62.55440265994472,62.648234969894716,-1.3631603564235149,1.6033112781467795,-0.30298798913812464,-45.0397544114863,-0.3926711810660007,-4.305799391355116,168.39706712369943,164.90679774616726,-0.04808339486426938,27.744140072945207,0.14795934597035687,36.10917772650269,0.35731863129056185,4.646146738890247,105.84266446375472,102.25856277627254,1.3150769615592455,26.140828794798427,0.4509473351084815,81.148932137989,0.7499898123565625,8.951946130245362,75.0
vid_0022_aug_8,vid_0022,False,Heave,69,left,136.52424295434588,104.22158936897101,-0.8282207207135187,16.959927527781556,-0.08221532534257282,0.41864363796017556,-0.007047637570637188,-0.14321349299475897,25.178622262649895,34.34938290525828,0.2976126801621389,5.8409299767002905,0.08549002359286553,12.883025782313258,0.1029181430882733,1.5538148090358899,64.69073520742252,60.778198296724796,-1.344655102097895,5.2245600431924055,-0.2380054368463933,-44.63682902399179,-0.27522415877457057,-4.420203545071266,173.91337914745733,165.35600453112073,-0.02278089503121483,28.760184110899385,0.12338475155455104,40.99253849019196,0.42722400808696515,4.299052147358932,109.22264394003481,104.57780623439594,1.32187420706668,23.53562406770698,0.36139018840094433,85.62936751418374,0.7024481668615357,8.719255692430199,69.0
vid_0022_aug_9,vid_0022,False,Heave,66,left,132.39022776496017,102.98918169492664,-0.8275289349647604,17.469055621707405,-0.07487996517414035,0.4495531683165041,-0.006664082581441474,-0.08391020586753918,23.884856825029928,33.75511534627265,0.30047643993977274,5.749235042029444,0.08294563875495306,11.734904147374417,0.10596764092095091,1.6316653874725917,64.78394588759998,64.24561141658315,-1.2900327661600803,5.645758915886322,-0.21522959485225973,-38.65494900657016,-0.4088996036608775,-3.5571634575987474,168.5895021020064,162.05149697896346,-0.08277808757024896,28.13451044497768,0.17080364894700636,31.97966532652285,0.42032510480988494,3.610392893444926,103.80555621440642,97.80588556238031,1.2072546785898313,22.488751529091356,0.38603324379926607,70.63461433309301,0.8292247084707625,7.1675563510436735,66.0
vid_0022_orig,vid_0022,True,Heave,72,left,136.49557118146274,104.69583162198013,-0.8224287772218409,17.196906653136907,-0.0810955706207914,0.26423127925803525,-0.006512080325816989,-0.112042303284995,25.459514673930943,33.98946407785733,0.31454631277392425,5.7306886214649415,0.07827068670550268,12.421085437070833,0.12090884328559888,0.9804682028980286,64.17753282845055,69.8549426155433,-1.2932604432663246,5.09489471418676,-0.23920798325109716,-43.871776595618854,-0.4254596426499532,-2.297510051529916,167.87696952332465,158.3025891994103,0.0634682839199433,24.306811587892625,0.13502621349631785,38.155838178269825,0.492546508667029,2.4941147327861746,103.6994366948741,88.44764658386701,1.356728727186268,19.211916873705864,0.374234196747415,82.02761477388867,0.9180061513169822,4.79162478431609,72.0
vid_0023_aug_0,vid_0023,False,Heave,43,left,134.66000756422872,139.8437988817021,-0.5155482364223786,35.94709170725522,-0.033796553976836945,-0.1310642114767257,-0.005141333041379157,0.8610036416944118,37.24344614604427,19.781136174596202,0.3250961233173231,19.14739540295484,0.24667514904039375,21.28835331512381,0.12059625291566173,6.304216983374039,38.63451086585012,94.9229787766698,-1.2443252064258534,2.27204660245883,-0.4338746861444611,-50.50173282551445,-0.375994691163081,-12.487394922562377,178.78087272995253,177.69030258263834,-0.06512463615391206,60.24304533907034,0.4665532905198436,57.197108861092616,0.25690567843403117,25.201789996606056,140.1463618641024,82.76732380596854,1.1792005702719415,57.97099873661151,0.9004279766643047,107.69884168660707,0.6329003695971122,37.68918491916843,43.0
vid_0023_aug_1,vid_0023,False,Heave,46,left,134.00149739151854,143.07761793151735,-0.5322296529311863,35.365395975151905,-0.023049303388766235,0.5327464012437519,-0.012331317349824228,0.8317500266814153,31.875116774548115,19.972606387887573,0.3272994756288956,19.171079378573094,0.25761655313308895,15.312634194592766,0.10433098395538788,6.450976966033289,45.76451443474986,97.62224249900798,-1.5005034228026548,3.1430607577012455,-0.44558796382904303,-28.08246062686034,-0.2123284545021113,-11.767912437109509,172.46265000926556,174.80634386134952,-0.13439463579672783,63.47057961711295,0.4651925829301657,49.45500032506626,0.2795931658810661,26.450705643517615,126.6981355745157,77.18410136234154,1.366108787005927,60.32751885941171,0.9107805467592087,77.53746095192659,0.4919216203831774,38.218618080627124,46.0
